policy,success_rate,env_1,env_2,env_3,env_4,env_5,env_6,env_7,env_8,env_9,env_10,env_11,env_12,env_13,env_14,env_15,env_16,env_17,env_18,env_19,env_20,env_21,env_22,env_23,env_24,env_25,env_26,env_27,env_28,env_29,env_30,env_31,env_32,env_33,env_34,env_35,env_36,env_37,env_38,env_39,env_40,env_41,env_42,env_43,env_44,env_45,env_46,env_47,env_48,env_49,env_50
weights_epoch_32,70.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True
weights_epoch_33,66.0,False,False,True,True,True,True,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True
weights_epoch_34,66.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True
weights_epoch_35,72.0,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True
weights_epoch_36,57.99999999999999,False,False,True,True,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True
weights_epoch_37,70.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True
weights_epoch_38,68.0,False,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True
weights_epoch_39,64.0,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,True,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True
weights_epoch_4,62.0,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True
weights_epoch_40,70.0,False,False,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True
weights_epoch_41,60.0,False,False,True,True,False,True,False,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True
weights_epoch_42,62.0,False,False,True,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True
weights_epoch_43,72.0,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,True,True,True,True,False,True,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True
weights_epoch_44,66.0,False,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True
weights_epoch_45,54.0,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True
weights_epoch_46,64.0,False,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True
weights_epoch_47,62.0,False,False,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True
weights_epoch_48,64.0,False,False,True,True,False,False,False,True,True,False,True,False,True,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True
weights_epoch_49,62.0,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True
weights_epoch_5,62.0,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True
weights_epoch_50,64.0,False,False,True,True,False,True,False,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True
weights_epoch_51,64.0,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True
weights_epoch_52,60.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True
weights_epoch_53,68.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True
weights_epoch_54,68.0,False,False,True,True,True,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
weights_epoch_55,60.0,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True
weights_epoch_56,64.0,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
weights_epoch_57,64.0,False,False,True,True,False,True,False,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True
weights_epoch_58,64.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True
weights_epoch_59,64.0,False,False,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True
weights_epoch_6,60.0,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,False,True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,True,True
weights_epoch_60,66.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True
weights_epoch_61,66.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,True,True
weights_epoch_62,66.0,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True
weights_epoch_63,64.0,False,False,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True
